日期,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2021-05-17,-25.18亿,-1.46%,-2.36亿,-0.14%,-22.82亿,-1.33%,-11.76亿,-0.68%,36.94亿,2.15%
2021-05-18,-33.00亿,-2.32%,-12.06亿,-0.85%,-20.94亿,-1.47%,-9.29亿,-0.65%,42.29亿,2.98%
2021-05-19,-45.73亿,-3.12%,-18.50亿,-1.26%,-27.23亿,-1.86%,-1.63亿,-0.11%,47.36亿,3.24%
2021-05-20,-83.75亿,-5.01%,-39.40亿,-2.36%,-44.35亿,-2.65%,3.83亿,0.23%,79.92亿,4.78%
2021-05-21,-47.35亿,-3.24%,-22.83亿,-1.56%,-24.53亿,-1.68%,2.16亿,0.15%,45.19亿,3.10%
2021-05-24,-57.43亿,-3.81%,-29.47亿,-1.95%,-27.96亿,-1.86%,-2335.82万,-0.02%,57.66亿,3.83%
2021-05-25,-7.32亿,-0.46%,3.85亿,0.24%,-11.17亿,-0.71%,-10.25亿,-0.65%,17.56亿,1.11%
2021-05-26,-32.88亿,-1.94%,-12.00亿,-0.71%,-20.88亿,-1.23%,6.04亿,0.36%,26.84亿,1.58%
2021-05-27,-21.14亿,-1.28%,-11.48亿,-0.70%,-9.66亿,-0.59%,-6.27亿,-0.38%,27.41亿,1.67%
2021-05-28,-49.48亿,-2.80%,-26.16亿,-1.48%,-23.32亿,-1.32%,2.04亿,0.12%,47.45亿,2.69%
2021-05-31,-24.30亿,-1.37%,-8.21亿,-0.46%,-16.08亿,-0.91%,-7.96亿,-0.45%,32.25亿,1.82%
2021-06-01,-38.22亿,-2.07%,-16.98亿,-0.92%,-21.24亿,-1.15%,4.18亿,0.23%,34.04亿,1.84%
2021-06-02,-81.89亿,-4.70%,-46.27亿,-2.66%,-35.62亿,-2.04%,12.05亿,0.69%,69.85亿,4.01%
2021-06-03,-46.17亿,-2.75%,-16.24亿,-0.97%,-29.93亿,-1.79%,-1.20亿,-0.07%,47.37亿,2.83%
2021-06-04,-54.92亿,-3.41%,-26.24亿,-1.63%,-28.68亿,-1.78%,7.13亿,0.44%,47.79亿,2.96%
2021-06-07,-40.69亿,-2.34%,-13.07亿,-0.75%,-27.62亿,-1.59%,-4652.16万,-0.03%,41.15亿,2.36%
2021-06-08,-84.13亿,-4.95%,-43.15亿,-2.54%,-40.98亿,-2.41%,9.32亿,0.55%,74.81亿,4.40%
2021-06-09,-32.31亿,-2.08%,-8.39亿,-0.54%,-23.91亿,-1.54%,1010.30万,0.01%,32.20亿,2.07%
2021-06-10,-13.74亿,-0.78%,6.37亿,0.36%,-20.11亿,-1.14%,-7.52亿,-0.43%,21.26亿,1.20%
2021-06-15,-89.69亿,-5.39%,-50.34亿,-3.03%,-39.36亿,-2.37%,7.28亿,0.44%,82.41亿,4.95%
2021-06-11,-80.65亿,-4.15%,-37.92亿,-1.95%,-42.74亿,-2.20%,1.90亿,0.10%,78.75亿,4.05%
2021-06-16,-101.69亿,-6.68%,-54.19亿,-3.56%,-47.50亿,-3.12%,14.88亿,0.98%,86.81亿,5.70%
2021-06-17,-15.41亿,-1.07%,5.70亿,0.40%,-21.11亿,-1.47%,-5.41亿,-0.38%,20.82亿,1.45%
2021-06-18,-11.80亿,-0.73%,4.75亿,0.29%,-16.55亿,-1.02%,-13.00亿,-0.80%,24.80亿,1.54%
2021-06-21,-49.44亿,-2.83%,-22.31亿,-1.28%,-27.14亿,-1.55%,-6.01亿,-0.34%,55.45亿,3.17%
2021-06-22,-41.58亿,-2.44%,-25.19亿,-1.48%,-16.40亿,-0.96%,4.25亿,0.25%,37.33亿,2.19%
2021-06-23,-17.61亿,-0.95%,4.76亿,0.26%,-22.37亿,-1.21%,-12.82亿,-0.69%,30.43亿,1.65%
2021-06-24,-63.34亿,-3.67%,-31.45亿,-1.82%,-31.89亿,-1.85%,4.17亿,0.24%,59.17亿,3.43%
2021-06-25,-9.70亿,-0.56%,13.89亿,0.80%,-23.58亿,-1.35%,-12.16亿,-0.70%,21.85亿,1.25%
