205,2019-04-30,2.32亿,458.06万,739.88万,-281.82万,3.51,0.00,0.00,0.00,2.32亿
206,2019-04-29,2.35亿,1093.09万,921.79万,171.30万,3.51,0.00,4.35,-4.35,2.35亿
207,2019-04-26,2.33亿,1146.93万,1468.16万,-321.23万,7.86,0.00,4.00,-4.00,2.33亿
208,2019-04-25,2.36亿,1325.16万,1287.74万,37.42万,11.86,7.35,23.15,-15.80,2.37亿
209,2019-04-24,2.36亿,645.71万,1174.52万,-528.80万,27.66,20.65,3.00,17.65,2.37亿
210,2019-04-23,2.41亿,1802.36万,2236.90万,-434.54万,10.01,0.00,38.63,-38.63,2.42亿
211,2019-04-22,2.45亿,1902.32万,1608.76万,293.56万,48.64,37.48,0.00,37.48,2.48亿
212,2019-04-19,2.42亿,1551.45万,1207.80万,343.65万,11.16,4.65,3.50,1.15,2.43亿
213,2019-04-18,2.39亿,3254.93万,2638.65万,616.28万,10.01,0.00,31.54,-31.54,2.40亿
214,2019-04-17,2.30亿,4241.20万,3516.21万,724.98万,15.44,2.54,0.10,2.44,2.31亿
215,2019-04-16,2.23亿,3425.38万,3053.78万,371.60万,13.00,8.99,11.76,-2.77,2.24亿
216,2019-04-15,2.19亿,1939.84万,1684.10万,255.73万,15.77,12.91,4.50,8.41,2.20亿
217,2019-04-12,2.17亿,1887.70万,1910.42万,-22.71万,7.36,0.00,8.50,-8.50,2.17亿
218,2019-04-11,2.17亿,2600.93万,3054.85万,-453.92万,15.86,11.50,2.00,9.50,2.18亿
219,2019-04-10,2.22亿,1495.97万,2014.18万,-518.21万,6.36,0.00,17.00,-17.00,2.22亿
220,2019-04-09,2.27亿,2356.47万,1570.79万,785.69万,23.36,20.00,4.00,16.00,2.28亿
221,2019-04-08,2.19亿,2161.04万,2084.00万,77.04万,7.36,0.00,32.00,-32.00,2.19亿
222,2019-04-04,2.18亿,2369.02万,2744.57万,-375.55万,39.36,33.00,3.00,30.00,2.21亿
223,2019-04-03,2.22亿,2039.50万,1727.70万,311.80万,9.36,0.00,7.20,-7.20,2.22亿
224,2019-04-02,2.19亿,1325.08万,1427.25万,-102.17万,16.56,2.50,22.25,-19.75,2.20亿
225,2019-04-01,2.20亿,2127.74万,1762.67万,365.07万,36.31,27.45,9.20,18.25,2.22亿
226,2019-03-29,2.16亿,939.19万,1054.51万,-115.32万,18.06,12.20,2.00,10.20,2.17亿
227,2019-03-28,2.17亿,674.50万,677.98万,-3.48万,7.86,2.00,3.90,-1.90,2.18亿
228,2019-03-27,2.17亿,1449.73万,1103.45万,346.28万,9.76,1.90,8.50,-6.60,2.18亿
229,2019-03-26,2.14亿,1692.80万,1629.65万,63.15万,16.36,2.50,7.80,-5.30,2.15亿
230,2019-03-25,2.13亿,1879.36万,1270.00万,609.36万,21.66,15.80,1.50,14.30,2.15亿
231,2019-03-22,2.07亿,1499.20万,1583.73万,-84.52万,7.36,0.00,1.50,-1.50,2.08亿
232,2019-03-21,2.08亿,2091.82万,1554.43万,537.39万,8.86,0.00,14.00,-14.00,2.09亿
233,2019-03-20,2.02亿,2257.96万,3141.41万,-883.45万,22.86,9.00,28.30,-19.30,2.03亿
234,2019-03-19,2.11亿,3778.18万,4544.29万,-766.11万,42.16,33.31,12.00,21.31,2.13亿
235,2019-03-18,2.18亿,3011.83万,1872.87万,1138.96万,20.85,12.00,12.10,-0.10,2.19亿
236,2019-03-15,2.06亿,4109.98万,2811.24万,1298.73万,20.95,4.50,26.35,-21.85,2.08亿
237,2019-03-14,1.93亿,2634.62万,1842.65万,791.97万,42.80,31.95,7.00,24.95,1.96亿
238,2019-03-13,1.86亿,1388.35万,1961.49万,-573.14万,17.85,7.00,9.50,-2.50,1.87亿
239,2019-03-12,1.91亿,2047.14万,2258.00万,-210.86万,20.35,12.50,3.00,9.50,1.92亿
240,2019-03-11,1.92亿,2184.54万,2052.92万,131.62万,10.85,0.00,19.00,-19.00,1.93亿
241,2019-03-08,1.91亿,2559.10万,3740.97万,-1181.87万,12.94,0.00,1.80,-1.80,1.92亿
242,2019-03-07,2.03亿,4146.92万,4190.39万,-43.47万,14.74,8.09,40.40,-32.31,2.04亿
243,2019-03-06,2.03亿,3974.58万,2996.79万,977.80万,47.05,40.40,0.50,39.90,2.06亿
244,2019-03-05,1.94亿,2765.76万,2352.60万,413.16万,7.15,0.00,25.80,-25.80,1.94亿
245,2019-03-04,1.89亿,4208.59万,3136.45万,1072.14万,32.95,19.30,18.55,0.75,1.91亿
246,2019-03-01,1.79亿,3039.97万,3212.14万,-172.18万,32.20,22.20,19.33,2.87,1.81亿
247,2019-02-28,1.80亿,1820.68万,1464.28万,356.41万,29.33,19.68,2.47,17.21,1.82亿
248,2019-02-27,1.77亿,2033.64万,1840.38万,193.26万,12.12,5.47,32.00,-26.53,1.78亿
249,2019-02-26,1.75亿,3866.27万,3682.93万,183.34万,38.65,32.00,8.50,23.50,1.77亿
250,2019-02-25,1.73亿,3684.12万,2309.32万,1374.81万,15.15,2.80,31.25,-28.45,1.74亿
251,2019-02-22,1.59亿,1131.74万,1350.13万,-218.40万,43.60,36.75,5.30,31.45,1.62亿
252,2019-02-21,1.62亿,1053.86万,1095.27万,-41.41万,12.15,0.00,6.50,-6.50,1.62亿
253,2019-02-20,1.62亿,1116.81万,935.47万,181.34万,18.65,7.00,3.00,4.00,1.63亿
254,2019-02-19,1.60亿,930.43万,801.52万,128.91万,14.65,1.00,3.00,-2.00,1.61亿
255,2019-02-18,1.59亿,925.61万,1044.03万,-118.42万,16.65,3.80,7.50,-3.70,1.60亿
256,2019-02-15,1.60亿,676.85万,416.59万,260.27万,20.35,2.00,19.37,-17.37,1.61亿
257,2019-02-14,1.57亿,846.22万,1030.78万,-184.56万,37.72,23.87,4.50,19.37,1.59亿
258,2019-02-13,1.59亿,970.67万,436.60万,534.08万,18.35,2.50,7.92,-5.42,1.60亿
259,2019-02-12,1.54亿,394.09万,625.00万,-230.91万,23.77,4.22,8.50,-4.28,1.55亿
260,2019-02-11,1.56亿,547.89万,299.00万,248.89万,28.05,10.66,10.00,0.66,1.58亿
261,2019-02-01,1.54亿,308.04万,648.83万,-340.79万,27.39,11.00,16.40,-5.40,1.55亿
